dataset,method,rf_auc_mean,rf_auc_sd,rf_auc_values,tstr_f1_mean,tstr_f1_sd,tstr_f1_values,utility_gap_abs_mean,utility_gap_abs_sd,utility_gap_abs_values,mean_feature_kld,nn_distance_mean
HIV,Bootstrap,0.7103024574669188,0.06420719774166546,"[0.7032136105860114, 0.7117202268431002, 0.8156899810964083, 0.7136105860113422, 0.6947069943289225, 0.7391304347826086, 0.665406427221172, 0.6209829867674859, 0.6559546313799621, 0.5302457466918715, 0.666351606805293, 0.722117202268431, 0.8109640831758034, 0.7901701323251418, 0.8081285444234405, 0.7164461247637051, 0.6578449905482042, 0.6776937618147447, 0.7589792060491494, 0.7003780718336483, 0.6162570888468809, 0.7618147448015122, 0.7977315689981096, 0.7542533081285444, 0.8034026465028355, 0.6436672967863895, 0.722117202268431, 0.7315689981096408, 0.6947069943289226, 0.6833648393194707, 0.7533081285444234, 0.7854442344045369, 0.7504725897920604, 0.8052930056710774, 0.7164461247637051, 0.7608695652173914, 0.6408317580340264, 0.7249527410207939, 0.6776937618147448, 0.6814744801512287, 0.66351606805293, 0.7315689981096408, 0.8289224952741021, 0.6635160680529301, 0.609640831758034, 0.6228733459357279, 0.6200378071833648, 0.6720226843100189, 0.6729678638941399, 0.7646502835538752]",0.9749279830793751,0.0041474467186459335,"[0.9784172661870504, 0.9714285714285714, 0.9714285714285714, 0.9784172661870504, 0.9714285714285714, 0.9855072463768116, 0.9784172661870504, 0.9714285714285714, 0.9714285714285714, 0.9714285714285714, 0.9714285714285714, 0.9714285714285714, 0.9784172661870504, 0.9784172661870504, 0.9714285714285714, 0.9714285714285714, 0.9784172661870504, 0.9714285714285714, 0.9784172661870504, 0.9784172661870504]",0.007158563727415529,0.006981824364625078,"[0.0003822229572664204, 0.013944170771756803, 1.824484583101693e-05, 0.006565414335198527, 0.0060952380952380425, 0.013586064110801876, 0.018082738110586805, 0.021729611384783798, 0.0004743659916074394, 0.0004926108374385674, 0.0014449917898194942, 0.011965676148100957, 0.006036313806097926, 0.020289187369316397, 0.0009341361065499099, 3.6489691662144885e-05, 0.007025184450141109, 0.006914796569969073, 0.007025184450141109, 0.0001286327260031639]",0.6935245854135461,3.9420131919196386e-08
HIV,Column-wise,0.8554064272211721,0.054179649384207246,"[0.8156899810964083, 0.8289224952741021, 0.8960302457466919, 0.9272211720226844, 0.9073724007561437, 0.833648393194707, 0.9508506616257089, 0.831758034026465, 0.8289224952741021, 0.7155009451795842, 0.8516068052930057, 0.8534971644612477, 0.9300567107750473, 0.8402646502835539, 0.7948960302457466, 0.8270321361058601, 0.9224952741020793, 0.8610586011342154, 0.9310018903591684, 0.8695652173913044, 0.7608695652173912, 0.8062381852551985, 0.8742911153119093, 0.835538752362949, 0.8506616257088846, 0.8251417769376181, 0.7948960302457467, 0.77882797731569, 0.9621928166351608, 0.7561436672967865, 0.8705103969754253, 0.7901701323251418, 0.8374291115311909, 0.890359168241966, 0.8156899810964083, 0.889413988657845, 0.838374291115312, 0.9631379962192816, 0.8960302457466919, 0.8865784499054821, 0.8034026465028354, 0.9102079395085065, 0.8969754253308129, 0.8194706994328922, 0.8780718336483933, 0.8431001890359169, 0.8969754253308129, 0.8223062381852553, 0.9206049149338373, 0.8393194706994329]",0.9877173855964421,0.007894693116554172,"[0.9784172661870504, 0.9855072463768116, 0.9927007299270073, 0.9927007299270073, 0.9927007299270073, 0.9784172661870504, 0.9855072463768116, 0.9855072463768116, 0.9784172661870504, 1.0, 0.9784172661870504, 0.9927007299270073, 0.9784172661870504, 0.9927007299270073, 0.9784172661870504, 0.9784172661870504, 0.9927007299270073, 1.0, 1.0, 0.9927007299270073]",0.01961335577194091,0.011641074337272274,"[0.0003822229572664204, 0.028022845719997025, 0.021290403344266906, 0.020848878075155453, 0.02736739659367393, 0.0064960839210406185, 0.025172718300348063, 0.03580828633302402, 0.006514328766871524, 0.028078817733990014, 0.00554370296865947, 0.033237834646536846, 0.006036313806097926, 0.03457265110927332, 0.006054558651929054, 0.007025184450141109, 0.021308648190098034, 0.035486225141397654, 0.028607918263090726, 0.01441209646596009]",0.6225417270148391,7.821264107838275
HIV,GMM,1.0,1.570092458683775e-17,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999999, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9800061552490419,0.005068884489057755,"[0.9781021897810219, 0.9781021897810219, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9781021897810219, 0.9855072463768116, 0.9855072463768116, 0.9781021897810219, 0.9852941176470589, 0.9784172661870504, 0.9781021897810219, 0.9710144927536232, 0.9710144927536232, 0.9781021897810219, 0.9781021897810219, 0.9781021897810219, 0.9855072463768116, 0.9710144927536232]",0.01279586861403582,0.007713157115442219,"[0.0006972993632948787, 0.02061778912420731, 0.014096919794071239, 0.013655394524959785, 0.020173913043478264, 0.013586064110801876, 0.017767661704558346, 0.03580828633302402, 0.013604308956632782, 0.006181007515011938, 0.012420554428667963, 0.01895437090657992, 0.005721237400069468, 0.012886413935889185, 0.0013482147814981582, 0.00671010804411265, 0.00671010804411265, 0.013588414922419578, 0.014115164639902367, 0.007274140707424048]",1.1102510095712195,65.41207160810315
HIV,CVAE,0.9952741020793949,0.006385385918357096,"[0.9943289224952742, 0.998109640831758, 0.9943289224952742, 0.9962192816635161, 1.0, 0.996219281663516, 0.9905482041587902, 0.994328922495274, 1.0, 0.994328922495274, 0.994328922495274, 1.0, 1.0, 1.0, 0.9773156899810964, 0.9924385633270322, 0.998109640831758, 0.9848771266540642, 1.0, 0.994328922495274, 0.9943289224952742, 0.994328922495274, 1.0, 1.0, 1.0, 1.0, 0.9962192816635161, 0.996219281663516, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9924385633270322, 0.9924385633270322, 1.0, 0.998109640831758, 0.998109640831758, 0.9943289224952742, 0.9678638941398866, 1.0, 0.9848771266540643, 0.9962192816635161, 0.9829867674858224, 0.9867674858223062, 1.0, 0.9943289224952742, 0.998109640831758, 0.9962192816635161, 1.0]",0.9784726499228794,0.007340242301626244,"[0.9855072463768116, 0.9855072463768116, 0.9784172661870504, 0.9645390070921985, 0.9855072463768116, 0.9855072463768116, 0.9784172661870504, 0.9784172661870504, 0.9645390070921985, 0.9784172661870504, 0.9714285714285714, 0.9855072463768116, 0.9784172661870504, 0.9714285714285714, 0.9855072463768116, 0.9645390070921985, 0.9855072463768116, 0.9784172661870504, 0.9855072463768116, 0.9784172661870504]",0.012627881954867932,0.008026771000990663,"[0.006707757232494838, 0.028022845719997025, 0.007006939604309981, 0.007312844759653325, 0.020173913043478264, 0.013586064110801876, 0.018082738110586805, 0.028718306143262762, 0.007363930327980328, 0.0064960839210403964, 0.0014449917898194942, 0.02604435109634118, 0.006036313806097926, 0.013300492610837433, 0.013144538841690312, 0.006853074644710744, 0.014115164639902367, 0.013903491328448037, 0.014115164639902367, 0.0001286327260031639]",4.666608404280179,3.3694423094776855
Breast Cancer,Bootstrap,0.709611444893135,0.020610122592453105,"[0.7306461144489313, 0.6920122131389737, 0.7234068748153255, 0.7071555205358022, 0.717571161233133, 0.6725352112676056, 0.7412341179946814, 0.6900177287501231, 0.700851964936472, 0.7047178173938737, 0.7359647394858663, 0.7346104599625727, 0.7445582586427657, 0.7113168521619225, 0.7484241111001675, 0.6853146853146853, 0.7393381266620703, 0.6886634492268295, 0.723086772382547, 0.7039544962080173, 0.6973554614399684, 0.6909534127843987, 0.6832217078695952, 0.7244902984339604, 0.6953117305229981, 0.7070570274795627, 0.7193440362454446, 0.6702944942381562, 0.6962720378213336, 0.7065153156702453, 0.6981187826258248, 0.7116615778587609, 0.7461587708066582, 0.7267802619915296, 0.6944745395449621, 0.7352260415640698, 0.686004136708362, 0.6903624544469615, 0.7311139564660691, 0.6818674283463015, 0.7222988279326308, 0.7134590761351325, 0.6893282773564464, 0.6745050723923963, 0.7036590170392987, 0.725425982468236, 0.7138776716241505, 0.7015167930660888, 0.7119078104993598, 0.736629567615483]",0.988303837338545,0.0011166698481923744,"[0.988795518207283, 0.988795518207283, 0.988795518207283, 0.9873772791023843, 0.988795518207283, 0.988795518207283, 0.988795518207283, 0.9859550561797753, 0.9902097902097902, 0.988795518207283, 0.9874125874125874, 0.988795518207283, 0.9873772791023843, 0.9859943977591037, 0.9873772791023843, 0.9874125874125874, 0.988795518207283, 0.9902097902097902, 0.988795518207283, 0.988795518207283]",0.01922557745316767,0.0027817918597823057,"[0.019486448617342056, 0.01797378422382001, 0.019449817768819044, 0.015275353529633717, 0.023456624323888065, 0.023668699736999477, 0.012696362563366703, 0.019410361233053286, 0.023429799923243344, 0.01917070723453007, 0.01941934419594904, 0.017924212209191714, 0.020923432286357846, 0.018028432445375997, 0.016619785674760523, 0.016896697785677928, 0.01821533011753973, 0.022418940804854293, 0.017933449241765764, 0.022113965147184778]",0.11987490027326445,1.5637759995850217e-08
Breast Cancer,Column-wise,0.9997655865261499,0.00030418412815166955,"[0.9995075347188023, 0.9999999999999999, 0.9999015069437605, 1.0, 0.9997045208312814, 0.9991874322860238, 0.9999999999999999, 1.0, 0.9999015069437605, 0.9996552743031616, 0.9998768836797006, 0.9999999999999999, 0.9992366788141437, 0.9999507534718803, 1.0, 0.9998030138875209, 0.9999015069437605, 0.9991381857579041, 0.9993105486063233, 1.0, 0.9996552743031616, 0.9996552743031616, 1.0, 0.9999507534718802, 0.9989658229094849, 1.0, 0.9993597951344431, 1.0, 0.9999015069437605, 1.0, 0.9998276371515807, 1.0, 1.0, 0.9995075347188023, 0.9999507534718802, 0.9999507534718802, 1.0, 0.9990150694376047, 0.9999015069437605, 0.9996552743031616, 0.9998030138875209, 0.9998030138875209, 0.9990396927016645, 0.9999015069437605, 1.0, 1.0, 0.9995075347188023, 0.9998522604156408, 1.0, 1.0]",0.9562441473471208,0.0013513140677760447,"[0.9561527581329562, 0.9560283687943263, 0.9546742209631728, 0.9561527581329562, 0.9575070821529745, 0.9560283687943263, 0.9548022598870056, 0.9560283687943263, 0.9561527581329562, 0.9560283687943263, 0.9560283687943263, 0.9588652482269504, 0.9576271186440678, 0.9575070821529745, 0.9531914893617022, 0.9560283687943263, 0.9562764456981664, 0.9545454545454546, 0.9562764456981664, 0.958981612446959]",0.012834112538256276,0.0033050384653743902,"[0.013156311456984704, 0.014793365189136654, 0.014671479475291127, 0.015949167439794354, 0.007831811730420357, 0.009098449675957188, 0.021296895756910628, 0.010516326152395727, 0.010627232153590627, 0.013596442178426593, 0.011964874422312088, 0.012006057771140832, 0.00882672817195862, 0.010458883160753163, 0.01756600406592157, 0.0144875208325832, 0.014303742391576835, 0.013245394859481285, 0.0145856232673508, 0.007699940613139167]",0.0824159552939831,4.030614843106405
Breast Cancer,GMM,0.9922766669949769,0.0029901914811693415,"[0.9889195311730523, 0.9887964148527529, 0.9854476509406087, 0.9950014773958435, 0.990914015561903, 0.9965773662956762, 0.9919974391805378, 0.9899783315276273, 0.9906924061853639, 0.9938934305131488, 0.9911602482025017, 0.9916527134836993, 0.9934748350241308, 0.9939180537772088, 0.99364719787255, 0.9856200137890279, 0.9945582586427657, 0.9923421648773761, 0.9979070225549099, 0.9861124790702256, 0.9946321284349453, 0.9922436718211367, 0.9935487048163104, 0.9927607603663942, 0.9908401457697232, 0.9916034669555797, 0.995518565941101, 0.9909632620900227, 0.9937456909287895, 0.9937949374569093, 0.9942627794740471, 0.9900029547916871, 0.9950261006599035, 0.9873928888013395, 0.9954693194129813, 0.9949522308677238, 0.9937210676647297, 0.9949029843396041, 0.9959125381660593, 0.9922190485570767, 0.9928100068945139, 0.9889687777011721, 0.9878607308184773, 0.9952477100364424, 0.9871959026888605, 0.9884516891559146, 0.9924406579336157, 0.9949768541317837, 0.9934009652319511, 0.9963557569191371]",0.9601792328821619,0.0013653225196201563,"[0.9593267882187938, 0.9621318373071529, 0.9593267882187938, 0.957983193277311, 0.9565217391304348, 0.9592123769338959, 0.9593267882187938, 0.9593267882187938, 0.9593267882187938, 0.9606741573033708, 0.9608938547486033, 0.9606741573033708, 0.9607843137254902, 0.9621318373071529, 0.9607843137254902, 0.9607843137254902, 0.9621318373071529, 0.9607843137254902, 0.9607843137254902, 0.9606741573033708]",0.008899027003215487,0.0026987903430678406,"[0.009982281371147095, 0.008689896676310038, 0.010018912219670106, 0.014118732295439584, 0.008817154752960077, 0.005914441536387538, 0.016772367425122447, 0.007217906727928214, 0.0074532020677530175, 0.00895065366938208, 0.007099388468035039, 0.010197148694720437, 0.005669533090536194, 0.00583412800657479, 0.009973179702133517, 0.009731575901419265, 0.00844835078259032, 0.007006535679445647, 0.010077755240026964, 0.006007395756727374]",0.2758690967218239,5.518372548233992
Breast Cancer,CVAE,0.8236437506155816,0.025388630823981594,"[0.8500443218753079, 0.8143652122525362, 0.8426080961292228, 0.7784398699891658, 0.8086279917265833, 0.8564463705308775, 0.8172461341475425, 0.8352703634393774, 0.8083817590859845, 0.8034571062740076, 0.7942233822515512, 0.8093666896483798, 0.8161134640007879, 0.8019304639022948, 0.8340145769723235, 0.7742292918349256, 0.8530483600906136, 0.8340392002363833, 0.8263321185856398, 0.8529252437703143, 0.8509061361174037, 0.8339899537082636, 0.8534669555796316, 0.8246331133655076, 0.7919580419580419, 0.876711316852162, 0.8470895301881217, 0.8536146951639909, 0.816950654978824, 0.8668866344922682, 0.8223431498079385, 0.7854821235102925, 0.8607308184772974, 0.8554860632325421, 0.802767654880331, 0.8107455924357333, 0.8231064709937949, 0.8429774450901212, 0.8121491184871467, 0.8017581010538758, 0.8407367280606717, 0.8171722643553629, 0.7870580124101252, 0.8473357628287207, 0.7984093371417316, 0.8266029744902984, 0.775214222397321, 0.794075642667192, 0.8408105978528513, 0.8099084014576973]",0.9740985473619925,0.0011085696469285292,"[0.9749303621169917, 0.975, 0.9749303621169917, 0.9749303621169917, 0.9735006973500697, 0.9749303621169917, 0.9735744089012517, 0.9735744089012517, 0.9749303621169917, 0.9748603351955307, 0.9735744089012517, 0.9735744089012517, 0.9762900976290098, 0.9721448467966574, 0.9735006973500697, 0.9721448467966574, 0.9721448467966574, 0.9735744089012517, 0.9749303621169917, 0.9749303621169917]",0.005272762150881766,0.0025288458614800306,"[0.005621292527050792, 0.0041782660165370356, 0.00558466167852778, 0.002828436544241142, 0.008161803466674833, 0.009803543646708213, 0.002524746742664563, 0.0070297139545296705, 0.008150371830444869, 0.005235524222777843, 0.0055811656846133095, 0.002703102903160448, 0.009836250812983338, 0.004178881482929664, 0.0027432039224459803, 0.0016289571697478689, 0.0015646587069141349, 0.0057835594963158155, 0.0040682931514745, 0.008248809056893514]",0.40234055983535766,1.8685073016313423
Diabetes,Bootstrap,0.7166674804687498,0.020616480278592416,"[0.7210557725694444, 0.6981065538194444, 0.7257351345486112, 0.6949734157986112, 0.7542588975694444, 0.7217068142361112, 0.6911078559027777, 0.7200792100694444, 0.6760796440972222, 0.7101372612847222, 0.7331407335069444, 0.722412109375, 0.7451036241319444, 0.7323404947916667, 0.6886393229166666, 0.7078314887152778, 0.7224527994791667, 0.6936170789930556, 0.7260199652777778, 0.7103135850694444, 0.7379828559027778, 0.7120496961805556, 0.7155897352430556, 0.7108425564236112, 0.7388780381944444, 0.7060546875, 0.7243787977430556, 0.7518446180555556, 0.7293836805555556, 0.7472737630208333, 0.6977267795138888, 0.7490098741319444, 0.7317030164930556, 0.7133382161458333, 0.6828748914930556, 0.6891818576388888, 0.7255045572916667, 0.7250840928819444, 0.6738416883680556, 0.7373589409722222, 0.7408447265625, 0.6944173177083334, 0.6789822048611112, 0.7272406684027778, 0.7073025173611112, 0.7103814019097222, 0.7258978949652777, 0.7068413628472222, 0.7472873263888888, 0.6991644965277778]",0.8569246132900596,0.003559258682532632,"[0.8587570621468926, 0.8544423440453687, 0.8587570621468926, 0.8657844990548205, 0.8598484848484849, 0.8603773584905661, 0.8566037735849057, 0.8528301886792453, 0.8549905838041432, 0.8593155893536122, 0.8517110266159695, 0.8560606060606061, 0.8560606060606061, 0.8587570621468926, 0.8587570621468926, 0.8544423440453687, 0.8582230623818525, 0.8598484848484849, 0.8500948766603416, 0.8528301886792453]",0.2273092661873261,0.011343691695788112,"[0.22276097595383337, 0.22480771608089245, 0.23767078924560736, 0.22067745977084963, 0.22362169634021234, 0.23481881060602627, 0.21305291965469175, 0.2368373919108987, 0.20575824838887113, 0.22448022084660413, 0.21519184972189342, 0.22856009432411317, 0.23881006629126922, 0.22504451992176455, 0.2307905625939224, 0.22525848999368814, 0.2574023224131188, 0.24171562696090043, 0.2226597620148565, 0.21626580071250823]",0.052019883309728995,0.0
Diabetes,Column-wise,0.793042263454861,0.017100849374670636,"[0.7685139973958334, 0.7740749782986113, 0.8219401041666665, 0.8044026692708333, 0.8244764539930557, 0.8240695529513888, 0.791259765625, 0.8052842881944444, 0.7992078993055556, 0.7975531684027777, 0.7836235894097221, 0.8083902994791666, 0.791015625, 0.8074815538194444, 0.8123101128472223, 0.7927652994791666, 0.7963324652777778, 0.7662760416666667, 0.8047824435763888, 0.7722032335069445, 0.7806803385416667, 0.7910970052083333, 0.7578531901041666, 0.7770724826388888, 0.796657986111111, 0.7787679036458333, 0.7558729383680556, 0.7924262152777777, 0.8025309244791666, 0.7696126302083333, 0.7880859375, 0.8108317057291666, 0.7925211588541667, 0.7780083550347223, 0.7956136067708333, 0.8135036892361112, 0.8142768012152777, 0.7850477430555556, 0.8178710937499999, 0.7909478081597222, 0.7752956814236112, 0.8131103515625, 0.784573025173611, 0.8070882161458333, 0.7736680772569445, 0.7684868706597221, 0.802151150173611, 0.7917344835069444, 0.8091362847222222, 0.7916259765625002]",0.6733821552482689,0.006744754577034168,"[0.6692456479690522, 0.6640926640926641, 0.6730769230769231, 0.6718446601941748, 0.6575342465753424, 0.6756756756756757, 0.6756756756756757, 0.6743295019157088, 0.6793893129770993, 0.6782273603082851, 0.6833013435700576, 0.6782273603082851, 0.6717557251908397, 0.6782273603082851, 0.6615384615384615, 0.6704980842911877, 0.6833013435700576, 0.6666666666666666, 0.6755725190839694, 0.6794625719769674]",0.04376680814553546,0.013148233542801346,"[0.03324956177599292, 0.034458036128187874, 0.051990650175637865, 0.02673762091020393, 0.021307458067069907, 0.05011712779113586, 0.03212482174546172, 0.05833670514736222, 0.030156977561827225, 0.04339199180127706, 0.04678216667598145, 0.050726848571792216, 0.054505185421502844, 0.04451481808315705, 0.03357196198549128, 0.0413142302395072, 0.08248060360132381, 0.0485338087790822, 0.048137404438484355, 0.04289818401023027]",0.03291176557355799,1.3313003600227564
Diabetes,GMM,0.9782850477430555,0.004465960503001298,"[0.9814453125, 0.9840901692708335, 0.9744194878472221, 0.9709337022569445, 0.9839680989583333, 0.9828559027777778, 0.970608181423611, 0.9828559027777779, 0.9783121744791666, 0.9748670789930556, 0.9848768446180556, 0.977267795138889, 0.9771457248263888, 0.985256618923611, 0.9779866536458334, 0.9708251953125001, 0.9715711805555556, 0.9774983723958334, 0.9705810546875, 0.9729953342013888, 0.9791937934027778, 0.982516818576389, 0.9821506076388891, 0.9743787977430556, 0.9813096788194444, 0.981689453125, 0.9735785590277778, 0.9763726128472221, 0.9721137152777778, 0.9825710720486112, 0.9794379340277778, 0.9817437065972222, 0.9721272786458333, 0.9801567925347222, 0.9723849826388888, 0.9809705946180556, 0.9813639322916666, 0.978420681423611, 0.9764946831597222, 0.9716661241319445, 0.9803602430555556, 0.9840494791666666, 0.9809841579861112, 0.9790717230902778, 0.9740804036458333, 0.9752332899305556, 0.9840087890625, 0.9794108072916666, 0.9832763671875001, 0.9827745225694444]",0.6291442276535772,0.005724754415348956,"[0.6252587991718427, 0.622680412371134, 0.6160337552742616, 0.6365503080082136, 0.6265560165975104, 0.6378600823045267, 0.6304801670146137, 0.6283367556468172, 0.6307053941908713, 0.6311475409836066, 0.6231578947368421, 0.6182572614107884, 0.6346555323590815, 0.6307053941908713, 0.6335403726708074, 0.6304801670146137, 0.6363636363636364, 0.6291666666666667, 0.6276150627615062, 0.6333333333333333]",0.010038851975054086,0.0076679256615808855,"[0.010737287021216568, 0.0069542155933421945, 0.005052517627023634, 0.00855673127575729, 0.009670771910762155, 0.012301534419986937, 0.013070686915600205, 0.012343958878470618, 0.018526941224400684, 0.0036878275234014657, 0.013361282157233978, 0.0092432503257045, 0.017404992589744595, 0.0030071480342567236, 0.005573873117837191, 0.0012963129629331993, 0.0355428963949026, 0.011033808779082221, 0.000179948116021178, 0.003231054633403785]",0.45489932923263976,1.3265506013524206
Diabetes,CVAE,0.9944615342881944,0.002202982615439139,"[0.9972601996527778, 0.9927842881944444, 0.9922281901041666, 0.9928792317708334, 0.9936930338541666, 0.9943983289930556, 0.9989284939236112, 0.9968397352430556, 0.991943359375, 0.9974365234375, 0.9931640625000001, 0.9943712022569444, 0.9950493706597222, 0.9968804253472222, 0.9960394965277777, 0.9978434244791667, 0.9962158203125, 0.9913330078125, 0.9931776258680556, 0.9940592447916666, 0.9980875651041665, 0.9952392578125, 0.9945746527777778, 0.9942626953124999, 0.9943440755208334, 0.9948323567708334, 0.9930013020833334, 0.9968126085069444, 0.9956868489583333, 0.9910074869791666, 0.9916720920138888, 0.9934217664930556, 0.9928927951388887, 0.9941948784722222, 0.9948866102430556, 0.9964735243055555, 0.9934760199652778, 0.9906684027777778, 0.991726345486111, 0.9946424696180555, 0.9960259331597222, 0.9981011284722222, 0.9936659071180555, 0.990573459201389, 0.9943440755208335, 0.9925808376736112, 0.9896511501736112, 0.9970974392361112, 0.9955240885416666, 0.9970838758680556]",0.6293894565317733,0.005390577350164295,"[0.6190476190476191, 0.6319444444444444, 0.6321243523316062, 0.629757785467128, 0.6247877758913413, 0.629059829059829, 0.6281833616298812, 0.6301369863013698, 0.6288659793814433, 0.6335616438356164, 0.64, 0.6243567753001715, 0.6386554621848739, 0.6390328151986183, 0.626916524701874, 0.6292517006802721, 0.6303236797274276, 0.6245733788395904, 0.6252158894645942, 0.6219931271477663]",0.00994695981624455,0.008079776457702676,"[0.016948467145440183, 0.0023098164799681964, 0.01103807943032098, 0.015349253816842823, 0.011439012616931254, 0.0035012811752892503, 0.015367492300332741, 0.01414418953302321, 0.020366356033828747, 0.0012737246713916406, 0.0034808231059239025, 0.003143736436321376, 0.021404922415537042, 0.005320272973490248, 0.001049974851096258, 6.784662859160573e-05, 0.02950293975869389, 0.006440520952005979, 0.0022192251808909047, 0.014571260818970755]",0.8208309641937759,0.8653073275192401
