dataset,method,n_features_removed,n_features_retained,auc_mean,auc_sd,auc_values
Breast Cancer,Column-wise,24,6,0.8739929084999508,0.015069681823605956,"[0.8592041761055845, 0.8770067960208806, 0.8786319314488329, 0.8522111691125775, 0.8931350339801043, 0.8650891362158968, 0.9084260809612923, 0.8904264749335171, 0.8789520338816114, 0.8686595095045798, 0.8954742440657933, 0.8644735546143997, 0.8699399192356938, 0.880306313404905, 0.8453166551758101, 0.8540579139170689, 0.8765143307396828, 0.8712941987589875, 0.8723529991135626, 0.878385698808234]"
Breast Cancer,Column-wise,28,2,0.6093593026691617,0.023290161460031742,"[0.5765537279621786, 0.6130207820348665, 0.636240520043337, 0.5830788929380479, 0.6044272628779671, 0.6122328375849504, 0.5890869693686595, 0.6411159263271939, 0.5864769033783118, 0.5763321185856397, 0.6057076726090811, 0.6362897665714567, 0.6020634295282182, 0.6352063429528219, 0.60381168127647, 0.6492908499950754, 0.574583866837388, 0.6045011326701467, 0.6180439279030828, 0.6391214419383433]"
Breast Cancer,GMM,0,30,0.9932753865852458,0.0024735769276001203,"[0.9936964444006698, 0.9941150398896879, 0.990470796808825, 0.9953708263567419, 0.9968235989362749, 0.9933270954397715, 0.9921205555008372, 0.9930808627991726, 0.9947798680193046, 0.9923914114054959, 0.9962572638628976, 0.9872205259529204, 0.9906924061853639, 0.996651236087856, 0.9930316162710529, 0.9962818871269575, 0.9949768541317837, 0.9927853836304541, 0.9919974391805378, 0.9894366197183099]"
Breast Cancer,GMM,4,26,0.9022247119078104,0.016437786001647133,"[0.9084014576972324, 0.9225844577957254, 0.8945139367674578, 0.9161331626120358, 0.9233970255097015, 0.897025509701566, 0.8508815128533438, 0.9053235496897468, 0.8920516103614695, 0.8921747266817689, 0.9214271643849109, 0.9020732788338421, 0.8927164384910864, 0.9177582980399881, 0.9011622180636265, 0.9150251157293411, 0.9134984733576282, 0.9014576972323451, 0.8884073672806068, 0.8884812370727864]"
Breast Cancer,GMM,8,22,0.7778169014084507,0.03246750910381559,"[0.8413523096621688, 0.8280803703338914, 0.7562543090712105, 0.7871072589382448, 0.8325618043927903, 0.7674086476903378, 0.729661183886536, 0.7981877277651925, 0.7652171771890083, 0.7356446370530878, 0.791933418693982, 0.7785383630454052, 0.8071013493548704, 0.7658327587905052, 0.7227912932138285, 0.7503447256968383, 0.792598246823599, 0.7784152467251059, 0.7808037033389146, 0.7465034965034965]"
Breast Cancer,GMM,12,18,0.6929712892741061,0.03838773932890095,"[0.7654387865655471, 0.7580764306116419, 0.7060967201812272, 0.6863488624052004, 0.7683689549886732, 0.6832955776617747, 0.6268344331724613, 0.6732985324534619, 0.6992268295085197, 0.6462621885157096, 0.7255983453166551, 0.679651334580912, 0.695114744410519, 0.6924554318920517, 0.6321038116812764, 0.6821875307790801, 0.6752930168423126, 0.6970599822712498, 0.7100364424308085, 0.6566778292130404]"
Breast Cancer,GMM,16,14,0.6214407071801438,0.03168263959529158,"[0.6948685117699201, 0.6560622476115434, 0.6056338028169015, 0.5895794346498572, 0.6763025706687678, 0.5770461932433762, 0.5775140352605141, 0.5988131586723136, 0.624150497389934, 0.6061508913621589, 0.6395646606914213, 0.6157539643455138, 0.6431842805082242, 0.6510391017433271, 0.5874618339407072, 0.6063971240027579, 0.6111001674381956, 0.638136511375948, 0.6373731901900915, 0.5926819659214025]"
Breast Cancer,GMM,20,10,0.5700667290456024,0.026099942653945395,"[0.6369792179651335, 0.5920910075839653, 0.5718506845267408, 0.5495666305525461, 0.5905643652122525, 0.5237860730818478, 0.5721954102235792, 0.5359253422633705, 0.585787451984635, 0.5468580715059588, 0.5893578252733183, 0.5499359795134443, 0.6043287698217277, 0.5854919728159165, 0.5524475524475525, 0.5761597557372206, 0.5416379395252635, 0.5725401359204175, 0.5727863685610164, 0.551044026396139]"
Breast Cancer,GMM,24,6,0.5382965625923372,0.021017941509796044,"[0.586649266226731, 0.5358514724711908, 0.5690436324239141, 0.5478183788042943, 0.5310991825076332, 0.5082241701960012, 0.5424751305032995, 0.5075100955382645, 0.5333152762730228, 0.5213729932039791, 0.5494681374963064, 0.500418595489018, 0.5587511080468828, 0.5382153058209397, 0.520782034866542, 0.5208312813946617, 0.5367132867132867, 0.5525952920319117, 0.556141042056535, 0.5486555697823303]"
Breast Cancer,GMM,28,2,0.527121294198759,0.014320168246663337,"[0.5417856791096227, 0.5047769132276175, 0.5135427952329361, 0.5127302275189599, 0.5151679306608884, 0.5597852851373979, 0.5215699793164581, 0.5566088840736728, 0.51905840638235, 0.517581010538757, 0.5273810696345909, 0.5414163301487245, 0.5225549098788536, 0.5179749827637152, 0.515685019206146, 0.537722840539742, 0.524598640795824, 0.5359253422633704, 0.5215453560523983, 0.5350142814931548]"
Breast Cancer,CVAE,0,30,0.7602875997242196,0.030748969414239425,"[0.7467251058800355, 0.7417019600118192, 0.7966610853934798, 0.7270757411602482, 0.7489658229094849, 0.7744016546833449, 0.7164877376144981, 0.7888555106864966, 0.7525608194622279, 0.7577563281788634, 0.7955037919826652, 0.7569191372008274, 0.8003545750024623, 0.7636905348172953, 0.7416527134836994, 0.7611297153550676, 0.6875554023441348, 0.8255934206638431, 0.7558849601103124, 0.7662759775435832]"
Breast Cancer,CVAE,4,26,0.7425847040283661,0.030502990308800697,"[0.7447306214911849, 0.7247365310745593, 0.7779227814439083, 0.705948980596868, 0.72884861617256, 0.7596523195114744, 0.7271988574805477, 0.7677287501231163, 0.7248104008667389, 0.7515020191076529, 0.7805328474342559, 0.731360189106668, 0.7696247414557273, 0.7617206736925046, 0.7074756229685808, 0.7355461439968483, 0.6737909977346597, 0.8137250073869791, 0.7309415936176499, 0.733896385304836]"
Breast Cancer,CVAE,8,22,0.7162759775435833,0.02805752103845053,"[0.7420220624445977, 0.7054072687875504, 0.7419728159164779, 0.6852408155225057, 0.7137791785679111, 0.7309908401457698, 0.6996454249975378, 0.7429823697429331, 0.6930710134935487, 0.7182606126268097, 0.7635920417610559, 0.695336353787058, 0.7344627203782134, 0.7454446961489216, 0.6759085984438097, 0.694055944055944, 0.669703535900719, 0.7699448438885059, 0.6935634787747463, 0.7101349354870481]"
Breast Cancer,CVAE,12,18,0.6721892544075643,0.030952154457885933,"[0.6858071505958829, 0.6516546833448242, 0.7214123904264748, 0.6382350044321875, 0.656160740667783, 0.6852900620506254, 0.658672313601891, 0.695114744410519, 0.6327932630749532, 0.6768442824780855, 0.7357431301093273, 0.6500541711809318, 0.6855116714271644, 0.6979956663055255, 0.6380133950556486, 0.6479365704717817, 0.6279671033192161, 0.7256968383728947, 0.6777060967201813, 0.6551758101053876]"
Breast Cancer,CVAE,16,14,0.6502770117206736,0.025160038052891995,"[0.6639416921107062, 0.6159263271939328, 0.7128434945336354, 0.622032896680784, 0.6353294592731211, 0.6448832857283562, 0.6327193932827735, 0.6809071210479662, 0.6384073672806067, 0.6496601989559736, 0.6640155619028858, 0.6490199940904167, 0.650004924652812, 0.6757362355953904, 0.6187826258248792, 0.6381611346400078, 0.6114941396631537, 0.6805870186151877, 0.6733970255097015, 0.6476903378311829]"
Breast Cancer,CVAE,20,10,0.6123953511277455,0.022293107510473566,"[0.6446124298236974, 0.6232148133556584, 0.6627597754358318, 0.5820693391115926, 0.6186841327686399, 0.6106077021569979, 0.5847778981581797, 0.6241012508618142, 0.6117649955678125, 0.6389244558258642, 0.5951935388555106, 0.6118142420959323, 0.6200137890278735, 0.6129961587708066, 0.5848517679503595, 0.6100659903476805, 0.5736728060671723, 0.6385058603368462, 0.6049443514232247, 0.5943317246134148]"
Breast Cancer,CVAE,24,6,0.6238119275091105,0.02850673880751574,"[0.659731113956466, 0.6134886240520043, 0.6898946124298238, 0.57840047276667, 0.6297399783315276, 0.6157293410814537, 0.6147690337831183, 0.6225253619619817, 0.6259233724022457, 0.6603220722939034, 0.6410420565350143, 0.6027528809218949, 0.6713286713286714, 0.589604057913917, 0.6057815424012607, 0.6357234314980793, 0.5922633704323845, 0.6237319019009159, 0.6140057125972619, 0.5894809415936177]"
Breast Cancer,CVAE,28,2,0.5171870383137989,0.010273724605443527,"[0.5143061164187925, 0.5222594307101349, 0.5437062937062938, 0.5149463212843494, 0.5112774549394268, 0.5128040973111396, 0.5129272136314389, 0.5295971633999803, 0.5248202501723628, 0.5169900522013198, 0.5134689254407565, 0.5094553333989953, 0.5131488230079779, 0.5092091007583965, 0.5166453265044815, 0.5103417709051512, 0.51482320496405, 0.5417118093174431, 0.503398010440264, 0.5079040677632226]"
Diabetes,Bootstrap,0,8,0.7143324110243056,0.022453630889877924,"[0.713623046875, 0.7084554036458333, 0.7451307508680556, 0.6974826388888888, 0.7451578776041666, 0.7186550564236112, 0.6970486111111112, 0.7450629340277778, 0.7082112630208333, 0.6612141927083334, 0.6942816840277778, 0.7305636935763888, 0.7086452907986112, 0.7432725694444444, 0.6852213541666667, 0.6970350477430556, 0.6978759765625, 0.7298583984375, 0.7356092664930556, 0.7242431640625]"
Diabetes,Bootstrap,1,7,0.7170064290364585,0.02383263645995637,"[0.7137044270833334, 0.7172173394097222, 0.7538113064236112, 0.7022569444444444, 0.7558458116319444, 0.7115207248263888, 0.697781032986111, 0.7424858940972222, 0.7134195963541667, 0.6614583333333333, 0.6949055989583334, 0.7318115234375, 0.7107340494791667, 0.7511393229166667, 0.6848958333333334, 0.7015380859375, 0.7016465928819444, 0.7375081380208334, 0.7321370442708334, 0.7243109809027778]"
Diabetes,Bootstrap,2,6,0.7186292860243056,0.025326335297873506,"[0.72265625, 0.704250759548611, 0.7537841796875, 0.7088216145833334, 0.7592637803819444, 0.7124159071180556, 0.694580078125, 0.7520345052083334, 0.7046034071180556, 0.6680772569444444, 0.695556640625, 0.7365587022569444, 0.7165391710069444, 0.7530924479166666, 0.680691189236111, 0.7008192274305556, 0.7015109592013888, 0.7431233723958334, 0.7383761935763888, 0.725830078125]"
Diabetes,Bootstrap,3,5,0.7206197102864582,0.026211752972115174,"[0.7252875434027778, 0.7086181640625, 0.7496066623263888, 0.7081705729166666, 0.7602945963541667, 0.7180040147569444, 0.6961805555555556, 0.7549913194444444, 0.7065836588541667, 0.6688368055555556, 0.6990695529513888, 0.7333713107638888, 0.7217475043402778, 0.7599283854166667, 0.6764322916666666, 0.6970621744791667, 0.7058512369791667, 0.7493082682291667, 0.7440728081597222, 0.7289767795138888]"
Diabetes,Bootstrap,4,4,0.7154432508680555,0.022646248624876724,"[0.7229682074652778, 0.6961263020833334, 0.7411702473958333, 0.7019992404513888, 0.75439453125, 0.7116834852430556, 0.7069091796875, 0.7335476345486112, 0.7119683159722222, 0.6799045138888888, 0.7018229166666667, 0.7433539496527778, 0.7292751736111112, 0.7381184895833334, 0.6741672092013888, 0.6958821614583334, 0.6794569227430556, 0.7179226345486112, 0.7375759548611112, 0.7306179470486112]"
Diabetes,Bootstrap,5,3,0.6780863444010417,0.021130969363538775,"[0.6834852430555556, 0.6532660590277778, 0.6970621744791666, 0.6700303819444444, 0.7006429036458333, 0.6828477647569444, 0.6768798828125, 0.6982828776041666, 0.6894259982638888, 0.6462131076388888, 0.6357286241319444, 0.7014567057291666, 0.7019992404513888, 0.6856689453125, 0.6522216796875, 0.6766493055555556, 0.6538764105902778, 0.6863606770833333, 0.7111680772569444, 0.6584608289930556]"
Diabetes,Bootstrap,6,2,0.6161098904079861,0.021879804037857546,"[0.5911593967013888, 0.6084798177083334, 0.6579454210069444, 0.6215277777777779, 0.6665310329861112, 0.5975070529513888, 0.600830078125, 0.6174045138888888, 0.6202799479166667, 0.5997178819444444, 0.5709228515625, 0.6247829861111112, 0.6271837022569444, 0.6409912109375, 0.6080186631944444, 0.6212022569444444, 0.5982530381944444, 0.6159803602430556, 0.6314832899305555, 0.6019965277777778]"
Diabetes,Column-wise,0,8,0.7867757161458333,0.024265702590162707,"[0.7967122395833333, 0.744384765625, 0.8215738932291667, 0.7936062282986112, 0.8201361762152777, 0.7842339409722221, 0.8029513888888888, 0.746554904513889, 0.7902696397569444, 0.7725965711805556, 0.7615695529513888, 0.7808295355902779, 0.801364474826389, 0.7513563368055555, 0.816650390625, 0.7614474826388888, 0.8160942925347222, 0.8045789930555555, 0.8008897569444444, 0.7677137586805555]"
Diabetes,Column-wise,1,7,0.7621283637152778,0.02235864620760502,"[0.7599962022569444, 0.7112358940972221, 0.7879638671875, 0.7722846137152778, 0.7958848741319444, 0.755859375, 0.7706570095486112, 0.7231580946180555, 0.7694363064236112, 0.75537109375, 0.7415635850694444, 0.7566189236111112, 0.7802191840277779, 0.7492404513888888, 0.7743598090277778, 0.7294921874999999, 0.7985297309027778, 0.7765435112847223, 0.7702772352430556, 0.7638753255208334]"
Diabetes,Column-wise,2,6,0.6992234971788195,0.02389383652119466,"[0.6862521701388888, 0.6484510633680556, 0.7214762369791667, 0.7102728949652778, 0.7400987413194446, 0.7169325086805556, 0.7177598741319444, 0.661865234375, 0.6878390842013888, 0.708346896701389, 0.686279296875, 0.6963975694444445, 0.7287868923611112, 0.6546088324652778, 0.7148708767361112, 0.6816813151041666, 0.7112358940972221, 0.7107069227430556, 0.71142578125, 0.689181857638889]"
Diabetes,Column-wise,3,5,0.7013217502170138,0.023440437162287886,"[0.7003716362847222, 0.6523980034722223, 0.7330186631944444, 0.7003716362847222, 0.7312554253472221, 0.7326117621527778, 0.6991916232638888, 0.65478515625, 0.6920030381944444, 0.7032199435763888, 0.6947970920138888, 0.6986626519097222, 0.7317572699652777, 0.667697482638889, 0.7064480251736112, 0.6758355034722222, 0.7199978298611112, 0.7120768229166665, 0.7153049045138888, 0.7046305338541667]"
Diabetes,Column-wise,4,4,0.5649312337239583,0.023731772364647793,"[0.5660671657986112, 0.5276014539930556, 0.5723470052083334, 0.5784640842013891, 0.5970458984375, 0.5913357204861112, 0.573337131076389, 0.5457899305555556, 0.5320231119791666, 0.5797390407986112, 0.5543484157986112, 0.5450032552083334, 0.5921630859375, 0.529812282986111, 0.5967881944444444, 0.5312906901041666, 0.5937364366319444, 0.5641276041666666, 0.5825059678819444, 0.5450981987847222]"
Diabetes,Column-wise,5,3,0.5317803276909723,0.01957478458597937,"[0.5302327473958333, 0.5028618706597222, 0.5436197916666666, 0.5214165581597222, 0.54345703125, 0.5665418836805555, 0.5245496961805556, 0.5292833116319445, 0.5209418402777778, 0.54833984375, 0.5647650824652778, 0.5135362413194444, 0.5408121744791667, 0.5028754340277778, 0.5593804253472223, 0.5275472005208333, 0.5543484157986112, 0.503173828125, 0.5169135199652777, 0.5210096571180556]"
Diabetes,Column-wise,6,2,0.5167283799913195,0.012035449332471092,"[0.5328640407986112, 0.521484375, 0.5064697265625, 0.5017361111111112, 0.5315483940972222, 0.50146484375, 0.5106201171874999, 0.5233968098958333, 0.5050726996527778, 0.5265163845486112, 0.5009901258680557, 0.5198703342013888, 0.5285101996527778, 0.5122477213541666, 0.513699001736111, 0.5338948567708333, 0.5364312065972222, 0.5013020833333333, 0.5046522352430556, 0.5217963324652778]"
Diabetes,GMM,0,8,0.9772901746961805,0.005473801762150132,"[0.9753960503472223, 0.9780815972222222, 0.9847819010416667, 0.9779866536458334, 0.9771185980902779, 0.9721408420138888, 0.9690348307291667, 0.9815809461805556, 0.9708930121527777, 0.9770643446180556, 0.9863145616319444, 0.9863009982638888, 0.979763454861111, 0.9657931857638888, 0.9805501302083334, 0.9701470269097221, 0.9799397786458333, 0.9800618489583334, 0.974758572048611, 0.9780951605902778]"
Diabetes,GMM,1,7,0.9587171766493056,0.007283588127400076,"[0.9551052517361112, 0.9599745008680555, 0.9670817057291667, 0.9585503472222221, 0.9537896050347222, 0.9631754557291666, 0.9626329210069443, 0.9599745008680556, 0.9473063151041666, 0.9555799696180556, 0.9664171006944445, 0.9640977647569444, 0.9519314236111112, 0.9520670572916667, 0.9684380425347222, 0.9389784071180556, 0.966064453125, 0.9558376736111112, 0.9644775390625, 0.962863498263889]"
Diabetes,GMM,2,6,0.9089090983072916,0.011808980864815771,"[0.899685329861111, 0.9063585069444444, 0.9187961154513888, 0.9334038628472221, 0.8944363064236112, 0.9170600043402778, 0.9114176432291667, 0.9244791666666666, 0.8958468967013891, 0.8930121527777777, 0.9123942057291666, 0.9205457899305557, 0.9035780164930556, 0.9041341145833333, 0.9067518446180556, 0.8951551649305557, 0.932373046875, 0.9035101996527778, 0.9021809895833333, 0.9030626085069444]"
Diabetes,GMM,3,5,0.8536756727430556,0.016043348705847043,"[0.8358832465277777, 0.856350368923611, 0.8556857638888888, 0.8735487196180556, 0.8443332248263888, 0.8594563802083334, 0.8624945746527778, 0.8709716796875, 0.8140055338541666, 0.8428412543402777, 0.8645562065972223, 0.8555908203125, 0.865926106770833, 0.8499213324652778, 0.845974392361111, 0.8332112630208333, 0.8912353515625, 0.8460828993055556, 0.8517659505208333, 0.8536783854166666]"
Diabetes,GMM,4,4,0.7834648980034722,0.02297354620953507,"[0.783908420138889, 0.7819959852430556, 0.7734375, 0.8061659071180556, 0.7639295789930555, 0.8123643663194444, 0.7706163194444444, 0.828952365451389, 0.7373725043402779, 0.7906358506944444, 0.7743598090277777, 0.7815890842013888, 0.815334743923611, 0.7899712456597222, 0.7489963107638888, 0.7499728732638888, 0.8121473524305556, 0.7792561848958333, 0.7814127604166666, 0.7868787977430555]"
Diabetes,GMM,5,3,0.7754252115885418,0.02402633618681944,"[0.7669813368055556, 0.7765570746527778, 0.7901204427083333, 0.7966986762152777, 0.7693956163194444, 0.7901204427083333, 0.7580023871527777, 0.8363308376736112, 0.7327067057291666, 0.7896592881944444, 0.7761094835069443, 0.7903645833333334, 0.7828640407986112, 0.7769097222222223, 0.7725694444444444, 0.7290039062499998, 0.7735053168402778, 0.7333577473958333, 0.7925482855902778, 0.7746988932291667]"
Diabetes,GMM,6,2,0.6702677408854167,0.02646799809473536,"[0.6638997395833333, 0.6772189670138888, 0.6689995659722222, 0.6844753689236112, 0.7069498697916665, 0.6873101128472223, 0.6621500651041667, 0.7262641059027778, 0.6517876519097223, 0.6880967881944444, 0.6833767361111112, 0.6634385850694445, 0.6655680338541666, 0.6595323350694444, 0.6409098307291666, 0.6230333116319445, 0.6934543185763888, 0.6116400824652779, 0.6933186848958335, 0.6539306640625]"
Diabetes,CVAE,0,8,0.9935187445746528,0.002368768646643749,"[0.9923773871527777, 0.9871826171875, 0.996337890625, 0.993136935763889, 0.9955512152777777, 0.9911566840277778, 0.9941677517361112, 0.9930419921875, 0.9956868489583333, 0.9927164713541666, 0.9900309244791667, 0.991970486111111, 0.9954291449652778, 0.995212131076389, 0.9946153428819444, 0.9951307508680556, 0.9957275390625, 0.9941541883680555, 0.9962700737847222, 0.990478515625]"
Diabetes,CVAE,1,7,0.9842603895399303,0.00556514177012336,"[0.9832628038194444, 0.9715033637152777, 0.9856499565972223, 0.9842936197916667, 0.9874403211805555, 0.9855821397569444, 0.9929877387152778, 0.9832492404513888, 0.9913330078125, 0.9866943359375, 0.9745008680555556, 0.979736328125, 0.9796820746527779, 0.980075412326389, 0.9836968315972222, 0.9878607855902778, 0.9893391927083333, 0.9886067708333334, 0.9917805989583333, 0.9779324001736112]"
Diabetes,CVAE,2,6,0.9707919650607637,0.008532251696384616,"[0.9765489366319444, 0.9570448133680556, 0.9670545789930556, 0.974365234375, 0.9676242404513888, 0.9650065104166665, 0.9853922526041667, 0.969021267361111, 0.9828016493055556, 0.9745144314236112, 0.9600694444444445, 0.9698350694444444, 0.9576958550347222, 0.961819118923611, 0.973782009548611, 0.9862196180555556, 0.972900390625, 0.9696587456597223, 0.9813096788194444, 0.9631754557291665]"
Diabetes,CVAE,3,5,0.96429443359375,0.010139541158640741,"[0.9693467881944444, 0.9502088758680556, 0.9586995442708334, 0.9595540364583333, 0.9629041883680556, 0.9611138237847222, 0.9775254991319443, 0.9630805121527778, 0.974853515625, 0.9709337022569444, 0.9581976996527778, 0.957790798611111, 0.9588758680555556, 0.9576551649305556, 0.9688449435763888, 0.983791775173611, 0.9769015842013888, 0.9560275607638888, 0.9772949218749999, 0.942287868923611]"
Diabetes,CVAE,4,4,0.9679063585069445,0.010796828270998959,"[0.963623046875, 0.9508463541666667, 0.9618598090277778, 0.9684922960069444, 0.9593505859374999, 0.9756673177083333, 0.9750705295138888, 0.9607069227430556, 0.9816758897569444, 0.9692518446180556, 0.9611138237847223, 0.965969509548611, 0.9711642795138888, 0.9583468967013888, 0.9744194878472222, 0.9903428819444444, 0.9743109809027778, 0.962646484375, 0.9864773220486112, 0.9467909071180556]"
Diabetes,CVAE,5,3,0.9607306586371527,0.009546609991558907,"[0.9691297743055557, 0.9564073350694444, 0.9393717447916666, 0.9614529079861112, 0.9483506944444444, 0.9648980034722223, 0.9580078125000001, 0.9592013888888888, 0.9706895616319444, 0.9737548828125, 0.9700520833333333, 0.9578450520833334, 0.9488389756944444, 0.9498155381944445, 0.9588894314236112, 0.9767795138888888, 0.9674479166666666, 0.9605984157986112, 0.970608181423611, 0.9524739583333333]"
Diabetes,CVAE,6,2,0.8147121853298611,0.0151171558379917,"[0.8100043402777778, 0.8297119140625, 0.7867024739583334, 0.8089328342013888, 0.83935546875, 0.8005777994791667, 0.8077935112847223, 0.8180202907986112, 0.8041314019097223, 0.8283013237847223, 0.8124728732638888, 0.8028835720486112, 0.7973361545138888, 0.7975124782986109, 0.8175455729166666, 0.850490993923611, 0.811916775173611, 0.816948784722222, 0.8249376085069444, 0.8286675347222222]"
