dataset,method,condition,strength,mean_auc,sd_auc,mean_auc_reduction,sd_auc_reduction,mean_structural_error,sd_structural_error,mean_marginal_ks,max_marginal_ks,runs
HIV,Bootstrap,permuted_structure_control,0.0,0.8129867674858222,0.06156992490492558,0.0,0.0,4.635119032835811,0.04648765865335109,0.13071996914707912,0.391304347826087,50
HIV,Bootstrap,permuted_structure_control,0.25,0.827296786389414,0.05607257632164411,-0.014310018903591702,0.027596158704405006,4.692379421488177,0.01401020907471874,0.13020643039824625,0.391304347826087,50
HIV,Bootstrap,permuted_structure_control,0.5,0.8387901701323252,0.05285289806731683,-0.025803402646502854,0.0312998962756434,4.709818292287846,0.01442257492442849,0.1311756586692648,0.391304347826087,50
HIV,Bootstrap,permuted_structure_control,0.75,0.8561436672967864,0.052993742239733785,-0.04315689981096409,0.032770150612804375,4.712889168137467,0.014990406887882609,0.1312121950229367,0.34782608695652173,50
HIV,Bootstrap,permuted_structure_control,1.0,0.8696030245746692,0.049221975982748606,-0.056616257088846905,0.0392445277385908,4.716650507739765,0.011921167603548359,0.13132586367880486,0.34782608695652173,50
HIV,Bootstrap,targeted_structure,0.0,0.8129867674858222,0.06156992490492558,0.0,0.0,4.635119032835811,0.04648765865335109,0.13071996914707912,0.391304347826087,50
HIV,Bootstrap,targeted_structure,0.25,0.8147069943289225,0.058778502311343156,-0.0017202268431002032,0.01725656395606187,4.64233018215085,0.04102456700283804,0.13115637559371573,0.391304347826087,50
HIV,Bootstrap,targeted_structure,0.5,0.8125708884688091,0.05700361937625155,0.00041587901701322315,0.023029028216324902,4.647490239891906,0.03868017335387065,0.13133905736207527,0.391304347826087,50
HIV,Bootstrap,targeted_structure,0.75,0.8173534971644613,0.0585589810945249,-0.004366729678638961,0.025299131109340404,4.65090928974401,0.03780635590945657,0.13121828441521535,0.391304347826087,50
HIV,Bootstrap,targeted_structure,1.0,0.8190359168241966,0.056102537276465574,-0.006049149338374307,0.029548105571892913,4.6525383114336885,0.03734148336549091,0.13121726951650226,0.391304347826087,50
HIV,CVAE,permuted_structure_control,0.0,0.9981663516068053,0.0030932960054034673,0.0,0.0,4.595129817008799,0.07087386358419559,0.13960033288677792,0.391304347826087,50
HIV,CVAE,permuted_structure_control,0.25,0.998109640831758,0.0035877208359671796,5.671077504726174e-05,0.0018455591810458817,4.687779804580828,0.03897074028513089,0.1407563025210084,0.391304347826087,50
HIV,CVAE,permuted_structure_control,0.5,0.9981663516068053,0.003502399954779115,0.0,0.0018215956742144346,4.715448748759489,0.026044306579356847,0.13925323752689484,0.391304347826087,50
HIV,CVAE,permuted_structure_control,0.75,0.9984310018903593,0.002842666863201678,-0.00026465028355386887,0.0014672511701005757,4.724089909013572,0.015438835001424378,0.1389132464580035,0.34782608695652173,50
HIV,CVAE,permuted_structure_control,1.0,0.9986389413988658,0.002612388771252826,-0.00047258979206048934,0.0016118466630182734,4.732384722411182,0.005937912930102046,0.13782121544269885,0.34782608695652173,50
HIV,CVAE,targeted_structure,0.0,0.9981663516068053,0.0030932960054034673,0.0,0.0,4.595129817008799,0.07087386358419559,0.13960033288677792,0.391304347826087,50
HIV,CVAE,targeted_structure,0.25,0.9982986767485822,0.0031608695411070842,-0.00013232514177693888,0.0015396477552363365,4.590844774977915,0.058484416618957806,0.14003876913084073,0.34782608695652173,50
HIV,CVAE,targeted_structure,0.5,0.9984877126654064,0.0031318967066549194,-0.00032136105860113505,0.0015584791875806032,4.599106518412032,0.05444972469792866,0.14020318272236432,0.391304347826087,50
HIV,CVAE,targeted_structure,0.75,0.9980907372400756,0.0037247996146595476,7.561436672967492e-05,0.0019175544667649608,4.612565042509977,0.05528412783795762,0.13818860877684408,0.391304347826087,50
HIV,CVAE,targeted_structure,1.0,0.9985822306238186,0.0032194488300206024,-0.0004158790170132365,0.0016881987154294094,4.6266754088183095,0.05235955748911504,0.1384433483538343,0.391304347826087,50
Breast Cancer,Bootstrap,permuted_structure_control,0.0,0.9829109622771594,0.0055478428363887064,0.0,0.0,2.808856805309599,0.05317182420412916,0.05211616722160562,0.10849056603773585,50
Breast Cancer,Bootstrap,permuted_structure_control,0.25,0.9900915985423028,0.0041603963662629655,-0.007180636265143294,0.002820600069074209,3.141885859479794,0.06284673746217696,0.05192502158095942,0.10377358490566038,50
Breast Cancer,Bootstrap,permuted_structure_control,0.5,0.9951108046882695,0.0025756161923023665,-0.01219984241111001,0.0042137675089316375,3.4553391460123652,0.06685329775533043,0.05145623029085848,0.10849056603773585,50
Breast Cancer,Bootstrap,permuted_structure_control,0.75,0.9978858465478184,0.0011875253649697014,-0.01497488427065892,0.004982155039120905,3.723989753694096,0.056360614138645196,0.050745203741874106,0.12264150943396226,50
Breast Cancer,Bootstrap,permuted_structure_control,1.0,0.9992445582586427,0.0006714385221585385,-0.0163335959814833,0.005421256806668473,3.96230889497788,0.04508214465669449,0.05096189419163891,0.12735849056603774,50
Breast Cancer,Bootstrap,targeted_structure,0.0,0.9829109622771594,0.0055478428363887064,0.0,0.0,2.808856805309599,0.05317182420412916,0.05211616722160562,0.10849056603773585,50
Breast Cancer,Bootstrap,targeted_structure,0.25,0.9831143504382941,0.00581731851455431,-0.00020338816113463887,0.0019329946272246162,2.8097986070748764,0.05248325484495862,0.05203116466712471,0.10849056603773585,50
Breast Cancer,Bootstrap,targeted_structure,0.5,0.9826012016152861,0.006121155413435111,0.000309760661873355,0.0023749728419327995,2.8111378857676566,0.05137976545796608,0.05211273188520691,0.10849056603773585,50
Breast Cancer,Bootstrap,targeted_structure,0.75,0.9825416133162612,0.005955094106155715,0.000369348960898257,0.0021497225908797568,2.811486000191449,0.04868981423399225,0.05193484311963778,0.10849056603773585,50
Breast Cancer,Bootstrap,targeted_structure,1.0,0.9831552250566336,0.00649907444813745,-0.0002442627794740515,0.002630418355229987,2.8115753253100233,0.0475535525272469,0.05209159135352254,0.10849056603773585,50
Breast Cancer,CVAE,permuted_structure_control,0.0,0.9329508519649364,0.012862202196753932,0.0,0.0,2.443862796764084,0.033358391728899844,0.05327436005848879,0.10849056603773585,50
Breast Cancer,CVAE,permuted_structure_control,0.25,0.950301388752093,0.011020472155648713,-0.01735053678715652,0.005486594772657992,2.776920578315962,0.05272293376868513,0.052639967936860266,0.11320754716981132,50
Breast Cancer,CVAE,permuted_structure_control,0.5,0.9679922190485571,0.008750381009246497,-0.03504136708362062,0.007464532800442293,3.1085196644770634,0.06189770447649478,0.05226948011909165,0.10849056603773585,50
Breast Cancer,CVAE,permuted_structure_control,0.75,0.9817320003939723,0.0063448196773390145,-0.048781148429035776,0.009033690467461362,3.4016902444003323,0.06399400761910054,0.05132894667300882,0.12264150943396226,50
Breast Cancer,CVAE,permuted_structure_control,1.0,0.9918250763321186,0.00407991410418725,-0.05887422436718213,0.011065440119023084,3.6770787818711193,0.05305109033480465,0.05160315698606486,0.12735849056603774,50
Breast Cancer,CVAE,targeted_structure,0.0,0.9329508519649364,0.012862202196753932,0.0,0.0,2.443862796764084,0.033358391728899844,0.05327436005848879,0.10849056603773585,50
Breast Cancer,CVAE,targeted_structure,0.25,0.935358514724712,0.011566684430448287,-0.0024076627597754505,0.0040245208729978625,2.4793314305692795,0.03752586643414636,0.052939238588517165,0.10849056603773585,50
Breast Cancer,CVAE,targeted_structure,0.5,0.9391746281887127,0.011288482464228828,-0.006223776223776245,0.004619729975268634,2.510290286965162,0.03808993269352293,0.05291858252735056,0.11320754716981132,50
Breast Cancer,CVAE,targeted_structure,0.75,0.9415753964345513,0.011358604306187195,-0.008624544469614907,0.005008729117934758,2.544478137540104,0.04186373715625577,0.05288762045698782,0.10849056603773585,50
Breast Cancer,CVAE,targeted_structure,1.0,0.9450364424308088,0.01045544062281261,-0.012085590465872171,0.005072655088098001,2.5781638861029785,0.045316557109282014,0.05298786181139122,0.10849056603773585,50
Diabetes,Bootstrap,permuted_structure_control,0.0,0.6549452039930556,0.022196662891928294,0.0,0.0,0.44134739992496563,0.03984245445916318,0.04351194029850746,0.07835820895522388,50
Diabetes,Bootstrap,permuted_structure_control,0.25,0.6778040907118056,0.023610921146678836,-0.02285888671875001,0.0117360027888763,0.6068072435591916,0.04061546831036268,0.0425455223880597,0.08208955223880597,50
Diabetes,Bootstrap,permuted_structure_control,0.5,0.7169992404513889,0.024941409758392315,-0.06205403645833335,0.01753119321432039,0.8770728308844997,0.03553222895619276,0.042248880597014926,0.07835820895522388,50
Diabetes,Bootstrap,permuted_structure_control,0.75,0.7631070963541667,0.02285840865944289,-0.10816189236111111,0.019125837977176485,1.1753767178348264,0.0430744207583986,0.04186194029850746,0.08582089552238806,50
Diabetes,Bootstrap,permuted_structure_control,1.0,0.8093329535590277,0.020817484137729214,-0.1543877495659722,0.019336066606544623,1.477002020926196,0.045141569320509486,0.04169701492537313,0.08582089552238806,50
Diabetes,Bootstrap,targeted_structure,0.0,0.6549452039930556,0.022196662891928294,0.0,0.0,0.44134739992496563,0.03984245445916318,0.04351194029850746,0.07835820895522388,50
Diabetes,Bootstrap,targeted_structure,0.25,0.6554047309027777,0.02324025514564642,-0.00045952690972223876,0.00809747220833023,0.42487982030863897,0.04276989906028273,0.04373358208955224,0.08208955223880597,50
Diabetes,Bootstrap,targeted_structure,0.5,0.6555126953125,0.024269474627794257,-0.0005674913194444553,0.009591559172114817,0.4145831643153848,0.04478232650364221,0.04328880597014925,0.08208955223880597,50
Diabetes,Bootstrap,targeted_structure,0.75,0.6555780707465277,0.022943429066943254,-0.0006328667534722343,0.011340776300163419,0.41053154214243726,0.04801995553760779,0.04293880597014925,0.08208955223880597,50
Diabetes,Bootstrap,targeted_structure,1.0,0.6588650173611111,0.022797548861339362,-0.003919813368055583,0.010372793196562084,0.41407653854156456,0.048565495005132145,0.04324701492537313,0.07835820895522388,50
Diabetes,CVAE,permuted_structure_control,0.0,0.9882736545138888,0.0037562161124008913,0.0,0.0,1.3179720825144676,0.08814550785891466,0.04759925373134328,0.08955223880597014,50
Diabetes,CVAE,permuted_structure_control,0.25,0.9879342990451389,0.00366042262828941,0.0003393554687500044,0.0015161248312736022,1.231656385215627,0.07641108422046669,0.04786044776119403,0.08955223880597014,50
Diabetes,CVAE,permuted_structure_control,0.5,0.9876220703125,0.00382035090743067,0.0006515842013888862,0.0018988912202625367,1.2438715669226885,0.05011547219193008,0.046454104477611946,0.08955223880597014,50
Diabetes,CVAE,permuted_structure_control,0.75,0.9877617730034722,0.003970974271713173,0.000511881510416663,0.002200876156508434,1.3418693185261832,0.019956133292478778,0.04572574626865672,0.08208955223880597,50
Diabetes,CVAE,permuted_structure_control,1.0,0.98890380859375,0.0036063979675846963,-0.0006301540798611094,0.0023868904449313782,1.5148362641693758,0.016924304930258014,0.045417537313432836,0.08955223880597014,50
Diabetes,CVAE,targeted_structure,0.0,0.9882736545138888,0.0037562161124008913,0.0,0.0,1.3179720825144676,0.08814550785891466,0.04759925373134328,0.08955223880597014,50
Diabetes,CVAE,targeted_structure,0.25,0.9873806423611111,0.0038608022621152366,0.000893012152777779,0.0011909891214359077,1.1753892012586844,0.08543565333885146,0.0476473880597015,0.09701492537313433,50
Diabetes,CVAE,targeted_structure,0.5,0.9870358615451389,0.004056731981349229,0.00123779296875,0.0012729225602348463,1.0393209190135275,0.0751833158667632,0.04723768656716418,0.08955223880597014,50
Diabetes,CVAE,targeted_structure,0.75,0.9873529730902778,0.0038839180589379774,0.0009206814236110916,0.0014369429048795917,0.9183935397208143,0.05821023182510774,0.046901119402985074,0.084,50
Diabetes,CVAE,targeted_structure,1.0,0.9874267578125,0.003836119735682956,0.0008468967013888862,0.0018016260172409977,0.8162046845066233,0.038044027390161744,0.046542910447761196,0.086,50
